Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-07-17 15:00:00,9150,9162.61,9139.24,9147.51,93.02,851171.55,9150.66
2020-07-17 16:00:00,9143.62,9164.25,9136.38,9150,98.6,902057.11,9148.31
2020-07-17 17:00:00,9144.58,9156.71,9125.06,9147.19,300.76,2750332.82,9144.55
2020-07-17 18:00:00,9152.44,9171.27,9146.16,9163.5,194.24,1779453.94,9161.1
2020-07-17 19:00:00,9163.89,9169.82,9153.04,9162.59,102.56,939510.55,9160.75
2020-07-17 20:00:00,9167.3,9182.43,9151.33,9158.71,207.95,1907641.32,9173.42
2020-07-17 21:00:00,9158.74,9165.53,9145.98,9146.95,100.47,920106.57,9158
2020-07-17 22:00:00,9149.49,9164.86,9143.39,9161.68,114.61,1048949.44,9151.99
2020-07-17 23:00:00,9161.68,9170.84,9150.73,9156.5,44.45,407236.7,9162.32
2020-07-18 0:00:00,9150.51,9169.69,9144.77,9155.15,141.74,1298859.19,9163.87
2020-07-18 1:00:00,9153.37,9158.92,9139.21,9140.06,44.73,409288.27,9150.35
2020-07-18 2:00:00,9139.35,9146.99,9122.72,9146.05,52.17,476556.6,9134.84
2020-07-18 3:00:00,9142.88,9143.41,9123.67,9139.79,24.71,225814.64,9137.59
2020-07-18 4:00:00,9134.4,9150.09,9129.51,9150.09,38.83,354977.07,9142.32
2020-07-18 5:00:00,9142.06,9147.75,9128.98,9141.89,31.84,290945.7,9138.91
2020-07-18 6:00:00,9136.9,9146.08,9134.04,9141.2,41.04,375192,9141.33
2020-07-18 7:00:00,9136.63,9143.25,9135.35,9140.74,97.17,887944.03,9138.28
2020-07-18 8:00:00,9136.99,9160.52,9122.81,9154.28,64.36,587956.7,9135.03
2020-07-18 9:00:00,9157.01,9214.63,9157.01,9165.25,198.45,1822541.25,9184.07
2020-07-18 10:00:00,9171.96,9182.78,9166.52,9173.13,29.26,268481.32,9174.57
2020-07-18 11:00:00,9173,9177.46,9162.01,9162.01,28.21,258757.71,9172.1
2020-07-18 12:00:00,9164.61,9178.29,9162.05,9173.27,33.07,303298.55,9171.23
2020-07-18 13:00:00,9169.51,9177.22,9160.84,9172.08,20.58,188725.45,9170.17
2020-07-18 14:00:00,9169.82,9171.7,9157.23,9169.4,35.18,322397.23,9163.54
2020-07-18 15:00:00,9169.81,9180,9165.29,9176.78,149.16,1368771.53,9176.61
2020-07-18 16:00:00,9175,9179.8,9163.28,9173.26,50.11,459465.4,9169.71
2020-07-18 17:00:00,9167.75,9179.23,9166.7,9174.68,26.81,245896.67,9173.42
2020-07-18 18:00:00,9172.9,9202,9171.59,9191.11,68.61,630630.04,9192.13
2020-07-18 19:00:00,9188.58,9205.52,9155.47,9164.06,65.37,600192.23,9180.96
2020-07-18 20:00:00,9168.69,9185.92,9160.93,9181.51,39.86,365708.64,9175.2
2020-07-18 21:00:00,9176.91,9181.6,9166.66,9174.96,26.14,239777.41,9174.03
2020-07-18 22:00:00,9174.96,9181.99,9166.12,9167.83,20.96,192308.71,9174.38
2020-07-18 23:00:00,9169.35,9181.9,9169.18,9177.43,29.94,274691.11,9175.1
2020-07-19 0:00:00,9175.7,9187.34,9171.16,9182.39,35.34,324481.07,9181.83
2020-07-19 1:00:00,9177.64,9179.26,9161.1,9170.54,49.24,451558.56,9170.17
2020-07-19 2:00:00,9164.66,9178.61,9155.99,9159.48,52.27,479274.06,9169.94
2020-07-19 3:00:00,9159.48,9162.01,9138.8,9158.32,69.12,632359.34,9148.92
2020-07-19 4:00:00,9152.72,9162.65,9146.87,9156.09,22.85,209190.86,9156.23
2020-07-19 5:00:00,9151.04,9157.62,9141.5,9143.81,109.91,1005371.11,9146.94
2020-07-19 6:00:00,9142.44,9160.04,9137.34,9160.04,100.9,922567.05,9143.12
2020-07-19 7:00:00,9159.75,9162.33,9153.41,9159.48,22.1,202441.23,9159
2020-07-19 8:00:00,9155.78,9159.5,9146.33,9159.5,34.54,316098.62,9152.47
2020-07-19 9:00:00,9157.63,9161.65,9146.66,9161.65,49.42,452371.4,9154.38
2020-07-19 10:00:00,9159.33,9159.79,9106.3,9127.79,249.97,2282296.06,9130.17
2020-07-19 11:00:00,9125.74,9140.52,9111.77,9124.31,83.77,764508.47,9126.25
2020-07-19 12:00:00,9128.95,9141.55,9114.62,9141.03,62.85,573750.19,9129
2020-07-19 13:00:00,9134.91,9139.99,9122.58,9133.66,68.96,629751.56,9131.49
2020-07-19 14:00:00,9131.25,9141.93,9124.86,9136.22,15.99,146099.32,9134.82
2020-07-19 15:00:00,9132.2,9140.38,9119.3,9121.08,15.75,143766.28,9128.1
